City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
295,turayf,0,SA,1557882000,15,31.68,38.65,75.2,16.11
296,beyneu,0,KZ,1557885998,63,45.32,55.19,66.61,11.5
297,natal,40,BR,1557885600,78,-5.81,-35.21,80.6,4.7
298,dalby,75,AU,1557885621,52,-27.18,151.26,75.0,14.99
299,lorengau,95,PG,1557885999,80,-2.02,147.27,85.17,4.5
300,parfenyevo,56,RU,1557885999,91,58.48,43.41,56.46,5.95
301,ushtobe,22,KZ,1557886000,18,45.25,77.98,72.77,15.05
302,novaya chigla,100,RU,1557886000,92,51.22,40.48,61.16,6.55
303,bethel,75,US,1557881760,81,60.79,-161.76,46.4,13.87
304,talsi,0,LV,1557883200,75,57.25,22.59,42.8,3.36
305,makakilo city,90,US,1557885911,69,21.35,-158.09,82.99,9.17
306,yaan,100,NG,1557886001,80,7.38,8.57,79.81,6.51
307,elizabeth city,40,US,1557885981,87,36.3,-76.22,61.0,4.85
308,tucurui,81,BR,1557885728,93,-3.77,-49.67,74.08,1.41
309,taoudenni,0,ML,1557886002,7,22.68,-3.98,92.84,10.69
310,kropotkin,72,RU,1557886002,91,45.43,40.58,55.02,6.55
311,dwarka,90,IN,1557883802,39,28.58,77.04,91.0,3.36
312,celestun,71,MX,1557886003,87,20.87,-90.4,81.45,17.11
313,sangar,83,RU,1557886003,34,63.92,127.47,59.43,11.9
314,port loko,100,SL,1557886003,82,8.77,-12.79,80.29,5.3
315,muzaffarabad,54,PK,1557885967,41,34.37,73.47,67.91,4.61
316,semporna,75,MY,1557882000,74,4.48,118.61,87.8,2.24
317,harsin,0,IR,1557882000,70,34.27,47.59,48.2,4.7
318,svetlogorsk,90,RU,1557883800,75,53.14,59.15,46.4,6.71
319,rio cuarto,0,AR,1557882000,81,-33.13,-64.35,51.8,6.93
320,tessalit,0,ML,1557886005,9,20.2,1.01,88.27,12.41
321,sept-iles,75,CA,1557885777,60,50.2,-66.38,41.0,6.93
322,la rioja,0,AR,1557885828,83,-29.41,-66.86,49.87,2.33
323,chumikan,100,RU,1557886006,66,54.72,135.31,45.46,8.77
324,pind dadan khan,100,PK,1557886006,36,32.58,73.05,85.41,9.15
325,caceres,100,CO,1557886006,62,5.53,-74.53,70.0,3.2
326,oktyabrskoye,20,RU,1557885934,74,56.73,85.44,39.0,6.71
327,najran,0,SA,1557882000,29,17.54,44.22,75.2,3.76
328,sao joao da barra,97,BR,1557886000,97,-21.64,-41.05,70.52,2.1
329,salgueiro,25,BR,1557885708,83,-8.07,-39.12,71.22,3.89
330,haines junction,79,CA,1557886008,31,60.75,-137.51,54.01,8.32
331,rubtsovsk,98,RU,1557886008,66,51.53,81.22,38.03,16.8
332,shumskiy,77,RU,1557886008,30,54.83,99.13,46.38,3.65
333,charters towers,100,AU,1557886009,82,-20.07,146.27,71.56,13.73
334,show low,1,US,1557885797,26,34.25,-110.03,72.0,4.7
335,lavumisa,1,ZA,1557886009,89,-27.31,31.88,55.98,3.53
336,lieksa,0,FI,1557886009,67,63.32,30.02,38.03,4.47
337,naron,11,ES,1557885842,82,43.52,-8.15,61.0,1.12
338,shizunai,45,JP,1557885849,87,42.33,142.37,57.02,9.15
339,palmer,0,AU,1557885724,68,-34.85,139.16,69.01,1.99
340,constitucion,90,MX,1557880980,6,23.99,-104.67,80.6,3.36
341,gasa,54,BT,1557886011,63,27.91,89.73,34.84,7.76
342,ous,31,RU,1557886011,39,60.91,61.52,43.05,4.45
343,touros,40,BR,1557885600,88,-5.2,-35.46,78.8,9.82
344,baruun-urt,0,MN,1557886011,23,46.68,113.28,54.54,32.39
345,meadow lake,79,CA,1557885911,47,54.13,-108.44,51.12,1.95
346,naze,100,NG,1557886012,96,5.43,7.07,75.51,3.83
347,hobyo,57,SO,1557885967,72,5.35,48.53,82.18,9.31
348,tilichiki,100,RU,1557886012,80,60.47,166.1,36.46,7.09
349,ebnat-kappel,40,CH,1557885961,75,47.26,9.12,44.6,6.93
350,terrace,90,CA,1557884810,81,54.52,-128.61,51.8,5.82
351,melaka,75,MY,1557882000,83,2.19,102.26,82.4,3.36
352,marawi,38,PH,1557885712,73,8.0,124.29,84.99,5.01
353,paysandu,0,UY,1557885696,89,-32.32,-58.08,53.01,5.73
354,kawalu,51,ID,1557886014,70,-7.38,108.21,81.97,5.12
355,half moon bay,20,US,1557886002,82,37.46,-122.43,63.0,4.7
356,fortuna,0,ES,1557885941,82,38.18,-1.13,61.0,2.24
357,storforshei,6,NO,1557885827,90,66.4,14.52,42.01,2.77
358,kumluca,7,TR,1557886015,40,36.37,30.29,49.28,3.22
359,roald,99,NO,1557885903,93,62.58,6.12,48.2,10.69
360,bonnyville,90,CA,1557882000,55,54.27,-110.74,60.8,4.7
361,provideniya,75,RU,1557883800,69,64.42,-173.23,39.2,8.95
362,krapivinskiy,0,RU,1557883800,69,55.0,86.81,37.4,11.18
363,niteroi,90,BR,1557885983,100,-29.95,-51.16,64.4,2.24
364,pilar,0,AR,1557886003,76,-34.46,-58.91,60.8,5.82
365,port lincoln,0,AU,1557886017,65,-34.72,135.86,64.33,4.83
366,sainte-maxime,0,FR,1557885963,67,43.31,6.64,60.01,5.82
367,abbeville,0,FR,1557885675,87,50.11,1.83,46.4,11.92
368,grandola,0,PT,1557885683,67,38.18,-8.57,64.99,9.17
369,severo-kurilsk,4,RU,1557886018,81,50.68,156.12,37.11,34.18
370,ulladulla,20,AU,1557885554,52,-35.36,150.48,66.2,2.24
371,pisco,75,PE,1557885678,88,-13.71,-76.2,64.99,14.99
372,erenhot,0,CN,1557886019,12,43.65,111.97,57.34,43.44
373,iguape,87,BR,1557886019,88,-24.7,-47.56,68.88,9.57
374,bagdarin,100,RU,1557886019,78,54.44,113.59,44.55,2.71
375,pa daet,20,TH,1557885697,83,19.5,99.99,84.0,4.7
376,la plata,0,AR,1557885811,100,-34.92,-57.95,60.8,2.24
377,loralai,100,PK,1557886021,28,30.37,68.6,72.5,6.96
378,kampong thum,68,KH,1557886021,60,12.71,104.89,90.75,3.62
379,batemans bay,0,AU,1557885980,64,-35.71,150.18,64.99,1.01
380,harbour breton,100,CA,1557886022,73,47.48,-55.8,39.47,7.43
381,mtambile,71,TZ,1557886022,76,-5.38,39.7,82.06,17.45
382,paita,2,PE,1557886022,94,-5.09,-81.11,68.9,12.15
